sent,rules
WRB JJ NNS CC NNS VBP PRP VB .,6 2# 4# 0 1 7 8
WRB JJ JJ VBP PRP VB .,4 2 0 1 5 6 7
WRB JJ VBP PRP ., 0 3 1 4
IN PRP VBP VBG CC RB ., 0 1 3# 4 5 6
IN PRP$ NN VBZ JJ CC JJ ., 0 1 2 4 5 6 7
IN PRP VBP NNS .,0 1 3* 2 4
IN PRP VBD .,1 2 3
VBZ PRP VBD ., 1 2# 3
VBZ PRP VBN ., 1 2# 3
VBP PRP VBG ., 1 2 3
VBP PRP VBN .,1 2*
VBZ DT NN VBG ., 2 3 4*
VBZ DT NN JJ .,2 3 4
NN NN, 0 1
PRP$ NN VBZ JJ, 0 1 3
DT NN VBZ RB JJ ., 1 3 4
PRP VBP RB VB NN, 0 4 2 3
PRP VBZ RB VB NN, 0 4 2 3
PRP VBZ RB VB NNP, 0 4 2 3
PRP VBZ RB VB PRP, 0 4 2 3
NNP VBZ RB VB PRP, 0 4 2 3
NN VBZ RB VB PRP, 0 4 2 3
NNP VBP RB VB NN, 0 4 2 3
NN VBP RB VB NN, 0 4 2 3
NN VBP RB VB NNP, 0 4 2 3

PRP VBZ RB VBN RB,0 3# 2 4
PRP VBP RB NNS,0 2 3*
DT NN VBZ RB JJ PRP VBZ JJ,1 3 4 5 7
DT NN VBD RB VB, 1 3 4
DT NN VBD RB VB PRP VBD, 0 3 4 5 6
PRP VBP RB JJ,0 2 3
PRP VBZ RB JJ,0 2 3
NNP VBP RB JJ,0 2 3
NNP VBZ RB JJ,0 2 3
NN VBP RB JJ,0 2 3
NN VBZ RB JJ,0 2 3
EX VBP RB JJ NNS RB DT JJ,0 2 3 4 5 7
PRP$ NN VBZ RB JJ PRP VBZ JJ,0 1 3 4 5 7
DT NN, 0 1
DT PRP, 0 1
DT NNP, 0 1
DT NNS, 0 1
NNP VBZ RB DT NN,0 2 4
NN VBZ RB DT NN,0 2 4
DT NN VBZ RB VBG,1 3 4#
NNS VBP RB IN PRP,0 2 3
NNS VBP RB IN NN,0 2 3
NNS VBP RB IN NNP,0 2 3
NNP VBZ RB JJ PRP VBZ JJ, 0 2 3 4 6
DT VBZ RB DT NN PRP VBZ DT NN, 0 2 3 4 6
DT VBZ RB NN PRP VBZ NN, 0 2 3 4 6
DT VBZ RB NN PRP VBZ JJ, 0 2 3 4 6
EX VBZ DT NN,0 2 3
PRP VBZ RB JJ,0 2 3
PRP VBD RB VB PRP VBD,0 2 3 4 5#
MD PRP IN NN .,1 2 3 4
DT NN PRP,0 1 2
DT NN VBP NN, 0 2 3
DT PRP VBP NN, 0 2 3
DT NNP VBP NN, 0 2 3
DT NN VBZ NN, 0 2 3
DT PRP VBZ NN, 0 2 3
DT NNP VBZ NN, 0 2 3

DT NN VBP JJ, 0 2 3
DT PRP VBP JJ, 0 2 3
DT NNP VBP JJ, 0 2 3
DT NN VBZ RB, 0 2 3
DT PRP VBZ RB, 0 2 3
DT NNP VBZ RB, 0 2 3

MD PRP VB VBG .,1 2 3# 4
EX VBP CD NNS IN DT NN, 0 6 2 3*
DT NN VBZ CD NNS, 1 3 4*
WRB JJ NNS VBZ DT NN VB ., 5 2* 0 1 7
DT NN VBP CD NNS,3 4* 2
RB NNS VBP DT JJ NN, 0 1 4 5
VBP PRP VB DT JJ NN .,1 4 5 2 6
VBP PRP VB DT NN .,1 4 2 5
DT NN VBP RB VB DT NN, 0 1 3 4 6
DT DT VBP RB PRP$ NNS,0 1 3 4 5
VBZ DT PRP$ JJ NN ., 1 2 3 4 5
WRB JJ NNS VBP IN DT NN .,6 2 0 1 7
EX VBP VBG NNS IN DT NN .,6 2 3*
WP VBZ PRP$ NN NN ., 2 3* 4 0 5
PRP$ NN NN VBZ CD,0 1 2 4
NN MD VB CD, 0 2 3
WRB JJ NN MD PRP VB ., 4 5 2 0 1 6
PRP VBZ VBD CD NN, 0 2* 3 4
PRP VBZ VBD CD, 0 2* 3
PRP VBZ VBD NN, 0 2* 3
PRP VBZ VBD NNP, 0 2* 3
PRP VBZ VBD PRP, 0 2* 3

WP NN VBZ PRP$ NN VBD IN DT NN ., 3# 4 8 0 1 9
WRB JJ VBZ DT NN NN ., 4 5 0 1 6
DT NN NN CD, 1 2 3
WRB JJ NNS VBP RB IN NNP ., 6 2 0 1 7
EX VBP CD NNS IN NNP,5 2 3
WRB JJ NNS VBZ DT NN VBP ., 5 6 2 0 1 7
DT NN VBZ CD NN, 1 3 4 2
WRB DT NN MD VB VBN ., 2 5* 0 6
WRB JJ NNS DT NN VBZ ., 4 2 0 1 6
DT NN TO VB VBN IN DT NN, 7 1 4
WRB DT NN MD VB VBN .,2 5* 0 6
VBZ DT NN DT JJ NN NN IN PRP$ NN ., 8 9 2 4 5 6 10
WRB RB VBD DT NN NN IN DT NN POS NN .,4 5 8 10 0 1 11
NN NN, 0 1


